Train,Test,Features,Classifier,Scaler,Eval-mode,Accuracy,Sensitivity,Specificity
LIDC-IDRI,LIDC-IDRI,hc,1-NN-L2,None,4-fold,71.56398104265402,62.83524904214559,77.68817204301075
LIDC-IDRI,LIDC-IDRI,hc,1-NN-L2,MinMax,4-fold,83.09636650868877,77.77777777777779,86.82795698924731
LIDC-IDRI,LIDC-IDRI,hc,1-NN-L2,Z-score,4-fold,80.25276461295418,72.41379310344827,85.75268817204301
LIDC-IDRI,LIDC-IDRI,hc,GaussianNB,None,4-fold,68.8783570300158,30.268199233716476,95.96774193548387
LIDC-IDRI,LIDC-IDRI,hc,GaussianNB,MinMax,4-fold,80.41074249605056,65.13409961685824,91.12903225806451
LIDC-IDRI,LIDC-IDRI,hc,GaussianNB,Z-score,4-fold,80.41074249605056,65.13409961685824,91.12903225806451
LIDC-IDRI,LIDC-IDRI,hc,LogisticRegression,None,4-fold,83.41232227488152,76.62835249042146,88.17204301075269
LIDC-IDRI,LIDC-IDRI,hc,LogisticRegression,MinMax,4-fold,85.46603475513427,77.39463601532567,91.12903225806451
LIDC-IDRI,LIDC-IDRI,hc,LogisticRegression,Z-score,4-fold,84.67614533965245,77.39463601532567,89.78494623655914
LIDC-IDRI,LIDC-IDRI,hc,LinearClassifier,None,4-fold,73.61769352290679,58.23754789272031,84.40860215053763
LIDC-IDRI,LIDC-IDRI,hc,LinearClassifier,MinMax,4-fold,84.20221169036336,86.59003831417624,82.52688172043011
LIDC-IDRI,LIDC-IDRI,hc,LinearClassifier,Z-score,4-fold,80.25276461295418,70.49808429118774,87.09677419354838
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-f,1-NN-L2,None,4-fold,47.70932069510268,37.547892720306514,54.83870967741935
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-f,1-NN-L2,MinMax,4-fold,48.81516587677725,40.99616858237548,54.3010752688172
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-f,1-NN-L2,Z-score,4-fold,50.39494470774092,43.67816091954023,55.107526881720425
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-f,GaussianNB,None,4-fold,50.86887835703001,43.29501915708812,56.18279569892473
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-f,GaussianNB,MinMax,4-fold,50.86887835703001,43.29501915708812,56.18279569892473
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-f,GaussianNB,Z-score,4-fold,50.86887835703001,43.29501915708812,56.18279569892473
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-f,LogisticRegression,None,4-fold,58.767772511848335,0.0,100.0
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-f,LogisticRegression,MinMax,4-fold,50.23696682464455,34.099616858237546,61.55913978494624
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-f,LogisticRegression,Z-score,4-fold,48.973143759873615,39.46360153256705,55.64516129032258
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-f,LinearClassifier,None,4-fold,51.81674565560821,52.87356321839081,51.075268817204304
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-f,LinearClassifier,MinMax,4-fold,49.60505529225908,30.65134099616858,62.903225806451616
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-f,LinearClassifier,Z-score,4-fold,49.60505529225908,33.33333333333333,61.02150537634409
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-br,1-NN-L2,None,4-fold,52.922590837282776,40.61302681992337,61.55913978494624
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-br,1-NN-L2,MinMax,4-fold,55.60821484992101,42.911877394636015,64.51612903225806
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-br,1-NN-L2,Z-score,4-fold,55.29225908372828,42.911877394636015,63.97849462365591
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-br,GaussianNB,None,4-fold,54.02843601895735,69.34865900383141,43.27956989247312
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-br,GaussianNB,MinMax,4-fold,54.02843601895735,69.34865900383141,43.27956989247312
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-br,GaussianNB,Z-score,4-fold,54.02843601895735,69.34865900383141,43.27956989247312
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-br,LogisticRegression,None,4-fold,58.767772511848335,0.0,100.0
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-br,LogisticRegression,MinMax,4-fold,56.39810426540285,42.911877394636015,65.86021505376344
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-br,LogisticRegression,Z-score,4-fold,55.29225908372828,46.74329501915709,61.29032258064516
LIDC-IDRI,LIDC-IDRI,convnext-avgpool-ax-gs-br,LinearClassifier,None,4-fold,51.81674565560821,52.87356321839081,51.075268817204304
